trial,money_A_left,time_A_left,money_B_right,time_B_right,choice,adjusted_magnitude,biggerchosen,reaction_time
1,200,23,400,29,A,200,0,0.831
2,100,23,400,29,A,100,0,0.42
3,50,23,400,29,A,50,0,1.293
4,25,23,400,29,A,25,0,0.413
5,13,23,400,29,A,13,0,0.41
6,200,12,400,36,A,200,0,1.068
7,100,12,400,36,A,100,0,0.412
8,50,12,400,36,A,50,0,0.415
9,25,12,400,36,A,25,0,1.213
10,13,12,400,36,A,13,0,0.412
11,2000,12,4000,36,A,2000,0,0.733
12,1000,12,4000,36,A,1000,0,0.586
13,500,12,4000,36,A,500,0,0.418
14,250,12,4000,36,A,250,0,0.421
15,125,12,4000,36,A,125,0,0.409
16,2000,3,4000,9,B,2000,1,0.654
17,3000,3,4000,9,B,3000,1,0.412
18,3500,3,4000,9,B,3500,1,0.492
19,3750,3,4000,9,B,3750,1,0.408
20,3875,3,4000,9,B,3875,1,0.612
21,400,9,200,3,B,200,0,0.911
22,400,9,100,3,B,100,0,0.415
23,400,9,50,3,B,50,0,0.411
24,400,9,25,3,B,25,0,0.411
25,400,9,13,3,B,13,0,0.411
26,4000,29,2000,23,A,2000,1,1.13
27,4000,29,3000,23,A,3000,1,0.421
28,4000,29,3500,23,A,3500,1,0.406
29,4000,29,3750,23,A,3750,1,0.438
30,4000,29,3875,23,A,3875,1,0.406
